time_min,generation,phase,phase_generation,max_steps,jump_candles,overlap_pct,step_idx,best_fitness,avg_fitness,std_fitness,population_size,species_count,network_width,network_depth,eval_time_seconds,fitness_improvement
131.37237331469854,1305,Elite 20,40,60,8,86.66666666666667,13754,89.65715221510301,55.36749387955537,27.191677072715304,101,9,9,3,4.257487058639526,0.0
131.7550084988276,1310,Elite 20,45,60,8,86.66666666666667,13754,89.65715221510301,52.86235068048099,27.295738228623424,101,8,9,3,4.6958959102630615,0.0
132.10017846425373,1315,Elite 20,0,60,8,86.66666666666667,13754,89.65715221510301,53.694272717491984,26.028875027730706,100,9,9,3,3.990525245666504,0.0
132.4312985618909,1320,Elite 20,5,60,8,86.66666666666667,13754,89.65715221510301,54.84921590797277,27.192059198371602,99,9,9,3,3.921868085861206,0.0
132.76503341595333,1325,Elite 20,10,60,8,86.66666666666667,13754,89.65715221510301,50.560499770852225,33.90626156378383,101,7,9,3,3.8144309520721436,0.0
133.0856690009435,1330,Elite 20,15,60,8,86.66666666666667,13754,89.65715221510301,56.784436030976686,31.06023603728051,100,8,9,3,3.810267210006714,0.0
133.40908891757329,1335,Elite 20,20,60,8,86.66666666666667,13754,89.65715221510301,47.71046307906357,34.06291083298556,99,8,9,3,3.9410009384155273,0.0
133.7427319486936,1340,Elite 20,25,60,8,86.66666666666667,13754,89.65715221510301,47.23129741709312,31.63767308182315,99,7,9,3,3.893177032470703,0.0
134.07957651615143,1345,Elite 20,30,60,8,86.66666666666667,13754,89.65715221510301,49.74658139157201,26.48563490569902,104,10,9,3,3.9010491371154785,0.0
134.43071548144022,1350,Elite 20,35,60,8,86.66666666666667,13754,89.65715221510301,43.023213899912655,25.9993631073082,103,13,9,3,4.212056875228882,0.0
