time_min,episode,macro_updates,micro_updates,avg_portfolio,avg_return_pct,avg_reward
0.15773624579111736,2,1,2,10000.0,0.0,0.0
0.434150767326355,4,1,4,10000.0,0.0,0.0
0.558194883664449,5,1,5,10000.0,0.0,0.0
0.8003920793533326,7,1,7,10000.0,0.0,0.0
1.0381858984629313,9,1,9,10000.0,0.0,0.0
1.1546849330266318,10,1,10,10000.0,0.0,0.0
1.3756363987922668,12,2,12,10000.0,0.0,0.0
1.5973914821942647,14,2,14,10000.0,0.0,0.0
1.7119977156321207,15,2,15,10000.0,0.0,0.0
1.9654153347015382,17,2,17,10000.0,0.0,0.0
